first W Term,second W term,third W term,first Phi Term,second Phi Term,lower bound of integral,upper bound of integral,Value of Integral,Name of first W Term,Name of second W Term,Name of third W Term,name of first phi Term,name of second phi term
-x/2 + 1/2,x/2 + 1/2,x/2 + 1/2,x + 1/2,x*(x + 1)/2,-1,1,17/420,wjm1o2p,wjp1o2m,wjp1o2m,dphijp1o2,dphijp1o2
-x/2 + 1/2,x/2 + 1/2,x/2 + 1/2,x + 1/2,-(x - 1)*(x + 1),-1,1,3/35,wjm1o2p,wjp1o2m,wjp1o2m,dphijp1o2,dphij
-x/2 + 1/2,x/2 + 1/2,x/2 + 1/2,-2*x,x*(x - 1)/2,-1,1,2/105,wjm1o2p,wjp1o2m,wjp1o2m,dphij,dphijm1o2
-x/2 + 1/2,x/2 + 1/2,x/2 + 1/2,-2*x,x*(x + 1)/2,-1,1,-1/21,wjm1o2p,wjp1o2m,wjp1o2m,dphij,dphijp1o2
-x/2 + 1/2,x/2 + 1/2,x/2 + 1/2,-2*x,-(x - 1)*(x + 1),-1,1,-4/105,wjm1o2p,wjp1o2m,wjp1o2m,dphij,dphij
x/2 + 1/2,-x/2 + 1/2,-x/2 + 1/2,x - 1/2,x*(x - 1)/2,-1,1,-17/420,wjp1o2m,wjm1o2p,wjm1o2p,dphijm1o2,dphijm1o2
x/2 + 1/2,-x/2 + 1/2,-x/2 + 1/2,x - 1/2,x*(x + 1)/2,-1,1,1/105,wjp1o2m,wjm1o2p,wjm1o2p,dphijm1o2,dphijp1o2
x/2 + 1/2,-x/2 + 1/2,-x/2 + 1/2,x - 1/2,-(x - 1)*(x + 1),-1,1,-3/35,wjp1o2m,wjm1o2p,wjm1o2p,dphijm1o2,dphij
x/2 + 1/2,-x/2 + 1/2,-x/2 + 1/2,x + 1/2,x*(x - 1)/2,-1,1,-1/140,wjp1o2m,wjm1o2p,wjm1o2p,dphijp1o2,dphijm1o2
x/2 + 1/2,-x/2 + 1/2,-x/2 + 1/2,x + 1/2,x*(x + 1)/2,-1,1,1/105,wjp1o2m,wjm1o2p,wjm1o2p,dphijp1o2,dphijp1o2
x/2 + 1/2,-x/2 + 1/2,-x/2 + 1/2,x + 1/2,-(x - 1)*(x + 1),-1,1,1/21,wjp1o2m,wjm1o2p,wjm1o2p,dphijp1o2,dphij
x/2 + 1/2,-x/2 + 1/2,-x/2 + 1/2,-2*x,x*(x - 1)/2,-1,1,1/21,wjp1o2m,wjm1o2p,wjm1o2p,dphij,dphijm1o2
x/2 + 1/2,-x/2 + 1/2,-x/2 + 1/2,-2*x,x*(x + 1)/2,-1,1,-2/105,wjp1o2m,wjm1o2p,wjm1o2p,dphij,dphijp1o2
x/2 + 1/2,-x/2 + 1/2,-x/2 + 1/2,-2*x,-(x - 1)*(x + 1),-1,1,4/105,wjp1o2m,wjm1o2p,wjm1o2p,dphij,dphij
x/2 + 1/2,-x/2 + 1/2,x/2 + 1/2,x - 1/2,x*(x - 1)/2,-1,1,-1/105,wjp1o2m,wjm1o2p,wjp1o2m,dphijm1o2,dphijm1o2
x/2 + 1/2,-x/2 + 1/2,x/2 + 1/2,x - 1/2,x*(x + 1)/2,-1,1,1/140,wjp1o2m,wjm1o2p,wjp1o2m,dphijm1o2,dphijp1o2
x/2 + 1/2,-x/2 + 1/2,x/2 + 1/2,x - 1/2,-(x - 1)*(x + 1),-1,1,-1/21,wjp1o2m,wjm1o2p,wjp1o2m,dphijm1o2,dphij
x/2 + 1/2,-x/2 + 1/2,x/2 + 1/2,x + 1/2,x*(x - 1)/2,-1,1,-1/105,wjp1o2m,wjm1o2p,wjp1o2m,dphijp1o2,dphijm1o2
x/2 + 1/2,-x/2 + 1/2,x/2 + 1/2,x + 1/2,x*(x + 1)/2,-1,1,17/420,wjp1o2m,wjm1o2p,wjp1o2m,dphijp1o2,dphijp1o2
x/2 + 1/2,-x/2 + 1/2,x/2 + 1/2,x + 1/2,-(x - 1)*(x + 1),-1,1,3/35,wjp1o2m,wjm1o2p,wjp1o2m,dphijp1o2,dphij
x/2 + 1/2,-x/2 + 1/2,x/2 + 1/2,-2*x,x*(x - 1)/2,-1,1,2/105,wjp1o2m,wjm1o2p,wjp1o2m,dphij,dphijm1o2
x/2 + 1/2,-x/2 + 1/2,x/2 + 1/2,-2*x,x*(x + 1)/2,-1,1,-1/21,wjp1o2m,wjm1o2p,wjp1o2m,dphij,dphijp1o2
x/2 + 1/2,-x/2 + 1/2,x/2 + 1/2,-2*x,-(x - 1)*(x + 1),-1,1,-4/105,wjp1o2m,wjm1o2p,wjp1o2m,dphij,dphij
x/2 + 1/2,x/2 + 1/2,-x/2 + 1/2,x - 1/2,x*(x - 1)/2,-1,1,-1/105,wjp1o2m,wjp1o2m,wjm1o2p,dphijm1o2,dphijm1o2
x/2 + 1/2,x/2 + 1/2,-x/2 + 1/2,x - 1/2,x*(x + 1)/2,-1,1,1/140,wjp1o2m,wjp1o2m,wjm1o2p,dphijm1o2,dphijp1o2
x/2 + 1/2,x/2 + 1/2,-x/2 + 1/2,x - 1/2,-(x - 1)*(x + 1),-1,1,-1/21,wjp1o2m,wjp1o2m,wjm1o2p,dphijm1o2,dphij
x/2 + 1/2,x/2 + 1/2,-x/2 + 1/2,x + 1/2,x*(x - 1)/2,-1,1,-1/105,wjp1o2m,wjp1o2m,wjm1o2p,dphijp1o2,dphijm1o2
x/2 + 1/2,x/2 + 1/2,-x/2 + 1/2,x + 1/2,x*(x + 1)/2,-1,1,17/420,wjp1o2m,wjp1o2m,wjm1o2p,dphijp1o2,dphijp1o2
x/2 + 1/2,x/2 + 1/2,-x/2 + 1/2,x + 1/2,-(x - 1)*(x + 1),-1,1,3/35,wjp1o2m,wjp1o2m,wjm1o2p,dphijp1o2,dphij
x/2 + 1/2,x/2 + 1/2,-x/2 + 1/2,-2*x,x*(x - 1)/2,-1,1,2/105,wjp1o2m,wjp1o2m,wjm1o2p,dphij,dphijm1o2
x/2 + 1/2,x/2 + 1/2,-x/2 + 1/2,-2*x,x*(x + 1)/2,-1,1,-1/21,wjp1o2m,wjp1o2m,wjm1o2p,dphij,dphijp1o2
x/2 + 1/2,x/2 + 1/2,-x/2 + 1/2,-2*x,-(x - 1)*(x + 1),-1,1,-4/105,wjp1o2m,wjp1o2m,wjm1o2p,dphij,dphij
x/2 + 1/2,x/2 + 1/2,x/2 + 1/2,x - 1/2,x*(x - 1)/2,-1,1,-1/140,wjp1o2m,wjp1o2m,wjp1o2m,dphijm1o2,dphijm1o2
x/2 + 1/2,x/2 + 1/2,x/2 + 1/2,x - 1/2,x*(x + 1)/2,-1,1,8/105,wjp1o2m,wjp1o2m,wjp1o2m,dphijm1o2,dphijp1o2
x/2 + 1/2,x/2 + 1/2,x/2 + 1/2,x - 1/2,-(x - 1)*(x + 1),-1,1,-2/105,wjp1o2m,wjp1o2m,wjp1o2m,dphijm1o2,dphij
x/2 + 1/2,x/2 + 1/2,x/2 + 1/2,x + 1/2,x*(x - 1)/2,-1,1,-17/420,wjp1o2m,wjp1o2m,wjp1o2m,dphijp1o2,dphijm1o2
x/2 + 1/2,x/2 + 1/2,x/2 + 1/2,x + 1/2,x*(x + 1)/2,-1,1,12/35,wjp1o2m,wjp1o2m,wjp1o2m,dphijp1o2,dphijp1o2
x/2 + 1/2,x/2 + 1/2,x/2 + 1/2,x + 1/2,-(x - 1)*(x + 1),-1,1,26/105,wjp1o2m,wjp1o2m,wjp1o2m,dphijp1o2,dphij
x/2 + 1/2,x/2 + 1/2,x/2 + 1/2,-2*x,x*(x - 1)/2,-1,1,1/21,wjp1o2m,wjp1o2m,wjp1o2m,dphij,dphijm1o2
x/2 + 1/2,x/2 + 1/2,x/2 + 1/2,-2*x,x*(x + 1)/2,-1,1,-44/105,wjp1o2m,wjp1o2m,wjp1o2m,dphij,dphijp1o2
x/2 + 1/2,x/2 + 1/2,x/2 + 1/2,-2*x,-(x - 1)*(x + 1),-1,1,-8/35,wjp1o2m,wjp1o2m,wjp1o2m,dphij,dphij
