Integrand,lower bound of integral,upper bound of integral,Value of Integral,W Term 1,W Term 2,D Term 1,P Term 1,D Term 2
-x**2*(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(-9*(x - 1)*(x - 1/3)/16 - 9*(x - 1)*(x + 1/3)/16 - 9*(x - 1/3)*(x + 1/3)/16),-1,1,-8/105,wjm1o2p,wjp1o2m,dpsihmh,phijm1o2,dphij
-x**2*(x/2 + 1/2)**2*(x - 1)*(-9*(x - 1)*(x - 1/3)/16 - 9*(x - 1)*(x + 1/3)/16 - 9*(x - 1/3)*(x + 1/3)/16),-1,1,-1/84,wjp1o2m,wjp1o2m,dpsihmh,phijm1o2,dphij
-x**2*(-x/2 + 1/2)**2*(x - 1)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16),-1,1,171/140,wjm1o2p,wjm1o2p,dpsihms,phijm1o2,dphij
-x**2*(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16),-1,1,9/140,wjp1o2m,wjm1o2p,dpsihms,phijm1o2,dphij
-x**2*(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16),-1,1,9/140,wjm1o2p,wjp1o2m,dpsihms,phijm1o2,dphij
-x**2*(x/2 + 1/2)**2*(x - 1)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16),-1,1,0,wjp1o2m,wjp1o2m,dpsihms,phijm1o2,dphij
-x**2*(-x/2 + 1/2)**2*(x - 1)*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16),-1,1,-27/70,wjm1o2p,wjm1o2p,dpsihps,phijm1o2,dphij
-x**2*(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16),-1,1,0,wjp1o2m,wjm1o2p,dpsihps,phijm1o2,dphij
-x**2*(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16),-1,1,0,wjm1o2p,wjp1o2m,dpsihps,phijm1o2,dphij
-x**2*(x/2 + 1/2)**2*(x - 1)*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16),-1,1,-9/140,wjp1o2m,wjp1o2m,dpsihps,phijm1o2,dphij
-x**2*(-x/2 + 1/2)**2*(x - 1)*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16),-1,1,1/12,wjm1o2p,wjm1o2p,dpsihph,phijm1o2,dphij
-x**2*(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16),-1,1,1/84,wjp1o2m,wjm1o2p,dpsihph,phijm1o2,dphij
-x**2*(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16),-1,1,1/84,wjm1o2p,wjp1o2m,dpsihph,phijm1o2,dphij
-x**2*(x/2 + 1/2)**2*(x - 1)*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16),-1,1,8/105,wjp1o2m,wjp1o2m,dpsihph,phijm1o2,dphij
2*x*(-x/2 + 1/2)**2*(x - 1)*(x + 1)*(-9*(x - 1)*(x - 1/3)/16 - 9*(x - 1)*(x + 1/3)/16 - 9*(x - 1/3)*(x + 1/3)/16),-1,1,-41/105,wjm1o2p,wjm1o2p,dpsihmh,phij,dphij
2*x*(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(x + 1)*(-9*(x - 1)*(x - 1/3)/16 - 9*(x - 1)*(x + 1/3)/16 - 9*(x - 1/3)*(x + 1/3)/16),-1,1,-3/35,wjp1o2m,wjm1o2p,dpsihmh,phij,dphij
2*x*(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(x + 1)*(-9*(x - 1)*(x - 1/3)/16 - 9*(x - 1)*(x + 1/3)/16 - 9*(x - 1/3)*(x + 1/3)/16),-1,1,-3/35,wjm1o2p,wjp1o2m,dpsihmh,phij,dphij
2*x*(x/2 + 1/2)**2*(x - 1)*(x + 1)*(-9*(x - 1)*(x - 1/3)/16 - 9*(x - 1)*(x + 1/3)/16 - 9*(x - 1/3)*(x + 1/3)/16),-1,1,-4/105,wjp1o2m,wjp1o2m,dpsihmh,phij,dphij
2*x*(-x/2 + 1/2)**2*(x - 1)*(x + 1)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16),-1,1,12/35,wjm1o2p,wjm1o2p,dpsihms,phij,dphij
2*x*(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(x + 1)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16),-1,1,3/35,wjp1o2m,wjm1o2p,dpsihms,phij,dphij
2*x*(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(x + 1)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16),-1,1,3/35,wjm1o2p,wjp1o2m,dpsihms,phij,dphij
2*x*(x/2 + 1/2)**2*(x - 1)*(x + 1)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16),-1,1,3/35,wjp1o2m,wjp1o2m,dpsihms,phij,dphij
2*x*(-x/2 + 1/2)**2*(x - 1)*(x + 1)*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16),-1,1,3/35,wjm1o2p,wjm1o2p,dpsihps,phij,dphij
